Núm. Archivo: 38
Nombre: RAYGRAS_HC1
Fecha: 14/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002425841;1051;14/9/2022;10:19:33;15/9/2021;BRANGUS C;RAYGRAS;SI;236
991 005002425820;1052;14/9/2022;10:22:04;15/9/2021;BRANGUS C;RAYGRAS;SI;228
991 005002425856;1053;14/9/2022;10:23:38;15/9/2021;BRANGUS C;RAYGRAS;SI;218
991 005002425819;1054;14/9/2022;10:25:18;15/9/2021;BRANGUS C;RAYGRAS;SI;208
991 005002425827;1055;14/9/2022;10:28:44;15/9/2021;BRANGUS C;RAYGRAS;SI;232
991 005002425848;1056;14/9/2022;10:31:11;15/9/2021;BRANGUS C;RAYGRAS;SI;212
991 005002425859;1057;14/9/2022;10:33:05;15/9/2021;BRANGUS C;RAYGRAS;SI;222
991 005002425829;1058;14/9/2022;10:34:17;15/9/2021;BRANGUS C;RAYGRAS;SI;232
991 005002425858;AI08;14/9/2022;10:36:11;15/9/2021;BRANGUS C;RAYGRAS;NO;194
991 005002425855;AI12;14/9/2022;10:38:51;15/9/2021;BRANGUS C;RAYGRAS;SI;226
991 005002425839;1059;14/9/2022;10:42:44;15/9/2021;BRANGUS C;RAYGRAS;SI;222
991 005002425834;1060;14/9/2022;10:44:54;15/9/2021;BRANGUS C;RAYGRAS;SI;208
991 005002425851;1061;14/9/2022;10:46:22;15/9/2021;BRANGUS C;RAYGRAS;SI;156
991 005002425832;1062;14/9/2022;10:47:51;15/9/2021;BRANGUS C;RAYGRAS;SI;202
991 005002425816;1063;14/9/2022;10:49:15;15/9/2021;BRANGUS C;RAYGRAS;SI;188
991 005002425842;1064;14/9/2022;10:50:34;15/9/2021;BRANGUS C;RAYGRAS;SI;204
991 005002425821;AI13;14/9/2022;10:51:50;15/9/2021;BRANGUS C;RAYGRAS;NO;190
991 005002425860;1066;14/9/2022;10:53:57;15/9/2021;BRANGUS C;RAYGRAS;SI;208
991 005002425826;1066;14/9/2022;10:56:14;15/9/2021;BRANGUS C;RAYGRAS;SI;238
991 005002425836;1067;14/9/2022;14:19:52;15/9/2021;BRANGUS C;RAYGRAS;SI;202
991 005002425861;1068;14/9/2022;14:24:18;15/9/2021;BRANGUS C;RAYGRAS;SI;210
991 005002425825;1069;14/9/2022;14:26:47;15/9/2021;BRANGUS C;RAYGRAS;SI;206
991 005002425847;1070;14/9/2022;14:28:17;15/9/2021;BRANGUS C;RAYGRAS;SI;190
991 005002425837;1071;14/9/2022;14:29:55;15/9/2021;BRANGUS C;RAYGRAS;SI;248
991 005002425844;1072;14/9/2022;14:31:30;15/9/2021;BRANGUS C;RAYGRAS;SI;234
991 005002425823;1073;14/9/2022;14:33:11;15/9/2021;BRANGUS C;RAYGRAS;SI;186
991 005002425833;1074;14/9/2022;14:37:11;15/9/2021;BRANGUS C;RAYGRAS;SI;190
991 005002425817;AI17;14/9/2022;14:39:23;15/9/2021;BRANGUS C;RAYGRAS;SI;222
991 005002425880;AI21;14/9/2022;14:40:46;15/9/2021;BRAMAN;RAYGRAS;SI;180
991 005002425870;1075;14/9/2022;14:42:09;15/9/2021;BRANGUS C;RAYGRAS;SI;196
991 005002425873;1076;14/9/2022;14:44:19;15/9/2021;BRANGUS C;RAYGRAS;SI;216
991 005002425866;1077;14/9/2022;14:46:40;15/9/2021;BRANGUS C;RAYGRAS;SI;208
991 005002425883;1078;14/9/2022;14:48:46;15/9/2021;BRANGUS C;RAYGRAS;SI;198
991 005002425906;1079;14/9/2022;14:51:04;15/9/2021;BRANGUS C;RAYGRAS;SI;210
991 005002425885;1080;14/9/2022;14:53:07;15/9/2021;BRANGUS C;RAYGRAS;SI;184
991 005002425901;1081;14/9/2022;14:54:43;15/9/2021;BRANGUS C;RAYGRAS;SI;192
991 005002425877;1082;14/9/2022;14:57:18;15/9/2021;BRANGUS C;RAYGRAS;SI;204
991 005002425875;1083;14/9/2022;14:59:20;15/9/2021;BRANGUS C;RAYGRAS;SI;228
991 005002425884;1084;14/9/2022;15:00:48;15/9/2021;BRANGUS C;RAYGRAS;SI;212
991 005002425907;1085;14/9/2022;15:02:23;15/9/2021;BRANGUS C;RAYGRAS;SI;212
991 005002425878;1086;14/9/2022;15:03:41;15/9/2021;BRANGUS C;RAYGRAS;SI;182
991 005002425905;1087;14/9/2022;15:06:34;15/9/2021;BRANGUS C;RAYGRAS;SI;206
991 005002425911;1088;14/9/2022;15:08:23;15/9/2021;BRANGUS C;RAYGRAS;SI;176
991 005002425876;1089;14/9/2022;15:10:20;15/9/2021;BRANGUS C;RAYGRAS;SI;222
991 005002425889;1090;14/9/2022;15:12:58;15/9/2021;BRANGUS C;RAYGRAS;SI;190
991 005002425888;1091;14/9/2022;15:14:21;15/9/2021;BRANGUS C;RAYGRAS;SI;
991 005002425871;AI23;14/9/2022;15:17:44;15/9/2021;BRANGUS C;RAYGRAS;SI;194
991 005002425903;AI22;14/9/2022;15:19:18;15/9/2021;BRAFORD;RAYGRAS;NO;240
991 005002425894;1092;14/9/2022;15:20:53;15/9/2021;BRANGUS C;RAYGRAS;SI;178
991 005002425879;1093;14/9/2022;15:22:51;15/9/2021;BRANGUS C;RAYGRAS;SI;216
991 005002425893;1094;14/9/2022;15:24:11;15/9/2021;BRANGUS C;RAYGRAS;SI;206
991 005002425867;AI24;14/9/2022;15:25:38;15/9/2021;BRANGUS C;RAYGRAS;NO;184
991 005002425882;1095;14/9/2022;15:26:38;15/9/2021;BRANGUS C;RAYGRAS;SI;200
991 005002425909;1096;14/9/2022;15:29:40;15/9/2021;BRANGUS C;RAYGRAS;SI;186
