Núm. Archivo: 44
Nombre: P_TAJAMAR_6
Fecha: 21/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID;C11NOTA(12)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO;NOTA
991 005002440101;1320;21/9/2022;14:39:54;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;176;
991 005002440070;1321;21/9/2022;14:41:35;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;220;
991 005003487164;1322;21/9/2022;14:45:23;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;248;
991 005003487165;1323;21/9/2022;14:46:25;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;238;
991 005003487167;1324;21/9/2022;14:47:45;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;222;
991 005003487139;1325;21/9/2022;14:55:07;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;204;
991 005003487155;1326;21/9/2022;14:57:16;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;208;
991 005003487179;1327;21/9/2022;14:58:37;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;232;
991 005003487150;AN72;21/9/2022;14:59:46;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;194;
991 005003487136;1328;21/9/2022;15:00:58;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;216;
991 005003487176;AN73;21/9/2022;15:02:31;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;218;
991 005003487162;1329;21/9/2022;15:03:55;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;170;
991 005003487168;1330;21/9/2022;15:07:30;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487160;1331;21/9/2022;15:08:37;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;228;
991 005003487172;1332;21/9/2022;15:10:08;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;210;
991 005003487178;1334;21/9/2022;15:16:46;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;238;
991 005003487143;1335;21/9/2022;15:18:42;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;196;
991 005003487144;1336;21/9/2022;15:19:57;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;254;
991 005003487158;1337;21/9/2022;15:21:08;31/8/2021;BRANGUS N;PAST TAJAMAR;SI;176;
991 005003487170;1338;21/9/2022;15:22:33;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;206;
991 005003487169;AN74;21/9/2022;15:24:21;31/8/2021;BRAFORD;PAST TAJAMAR;NO;212;
991 005003487171;1339;21/9/2022;15:25:34;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;224;
991 005003487177;1340;21/9/2022;15:26:36;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;236;
991 005003487148;1341;21/9/2022;15:28:09;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;230;
991 005003487156;AN90;21/9/2022;15:29:48;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;230;
991 005003487161;1342;21/9/2022;15:32:55;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;226;
991 005003487174;AN91;21/9/2022;15:34:47;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;200;
991 005003487166;1343;21/9/2022;15:38:16;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;230;
991 005003487181;1344;21/9/2022;15:39:46;31/8/2021;BRANGUS N;PAST TAJAMAR;SI;222;
991 005003487159;1345;21/9/2022;15:41:23;31/8/2021;BRANGUS N;PAST TAJAMAR;SI;238;
991 005003487140;1346;21/9/2022;15:42:51;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;216;
991 005003487149;1347;21/9/2022;15:44:25;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;232;
991 005003487151;1348;21/9/2022;15:45:46;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;220;
991 005003487185;1349;21/9/2022;15:46:57;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;206;
991 005003487152;1350;21/9/2022;15:48:36;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;140;
991 005003487163;1351;21/9/2022;15:53:03;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;206;
991 005003487147;AN96;21/9/2022;15:54:34;31/8/2021;BRANGUS C;PAST TAJAMAR;NO;190;
991 005003487182;1352;21/9/2022;15:56:07;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;236;
991 005003487142;1353;21/9/2022;15:57:20;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;240;
991 005003487153;1354;21/9/2022;15:58:30;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;212;
991 005003487146;1355;21/9/2022;15:59:44;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;208;
991 005003487157;1356;21/9/2022;16:00:54;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;208;
991 005003487141;1357;21/9/2022;16:02:23;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;196;
991 005003487183;1358;21/9/2022;16:06:12;31/8/2021;BRANGUS C;PAST TAJAMAR;SI;208;
