Núm. Archivo: 36
Nombre: PLANT_VAQC0
Fecha: 7/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F23RAZA()notID;C32PESO(##########)notID;C23INSCRIPTA()notID;F34FECHA NAC.(d/M/yyyy)notID;C73UBICACION()notID
IDE;IDV;Fecha;Hora;RAZA;PESO;INSCRIPTA;FECHA NAC.;UBICACION
991 005003486722;0156;7/9/2022;15:12:46;BRANGUS C;344;SI;;
991 005003486733;AH23;7/9/2022;15:15:49;BRHAMAN;308;NO;;
991 005003486723;096;7/9/2022;15:18:31;BRANGUS C;332;SI;;
991 005003486713;AH23;7/9/2022;15:19:49;BRHAMAN;274;NO;;
991 005003486730;AH24;7/9/2022;15:21:09;BRAFORD;304;NO;;
991 005003486702;0113;7/9/2022;15:22:35;BRANGUS C;310;SI;;
991 005003486734;AH25;7/9/2022;15:23:05;BRAFORD;306;NO;;
991 005003486708;0219;7/9/2022;15:34:39;BRANGUS C;300;SI;;
991 005003486720;AH26;7/9/2022;15:35:19;BRHAMAN;210;NO;;
991 005003486691;2;7/9/2022;15:36:24;BRANGUS C;316;SI;;
991 005003486707;AH27;7/9/2022;15:37:48;BRHAMAN;352;NO;;
991 005003486727;AH28;7/9/2022;15:39:06;BRAFORD;318;NO;;
991 005003486705;059;7/9/2022;15:40:09;BRANGUS C;298;SI;;
991 005003486696;AH29;7/9/2022;15:43:59;BRANGUS C;304;NO;;
991 005003486718;AH30;7/9/2022;15:45:30;BRANGUS C;252;NO;;
991 005003486693;AH31;7/9/2022;15:45:40;BRAFORD;226;NO;;
991 005003486704;0173;7/9/2022;15:46:50;BRANGUS C;318;SI;;
991 005003486709;AH32;7/9/2022;15:52:26;BRAFORD;324;NO;;
991 005003486703;0189;7/9/2022;15:53:31;BRANGUS C;320;SI;;
991 005003486700;AH33;7/9/2022;15:54:15;BRAFORD;290;NO;;
991 005003486726;036;7/9/2022;15:54:56;BRANGUS C;290;SI;;
991 005003486715;056;7/9/2022;15:55:43;BRANGUS C;266;SI;;
991 005003486741;0158;7/9/2022;15:56:27;BRANGUS C;326;SI;;
991 005003486767;0138;7/9/2022;15:58:48;BRANGUS C;312;SI;;
991 005003486752;AH34;7/9/2022;15:59:39;BRAFORD;298;NO;;
991 005003486750;AH35;7/9/2022;16:00:31;BRHAMAN;262;NO;;
991 005003486743;039;7/9/2022;16:01:12;BRANGUS C;334;SI;;
991 005003486753;046;7/9/2022;16:02:06;BRANGUS C;282;SI;;
991 005003486746;075;7/9/2022;16:02:58;BRANGUS C;314;SI;;
991 005003486784;AH36;7/9/2022;16:03:41;BRAFORD;186;NO;;
991 005003486761;AH37;7/9/2022;16:05:21;BRAFORD;260;NO;;
991 005003486748;AH38;7/9/2022;16:07:39;BRANGUS C;264;NO;;
991 005003486770;AH39;7/9/2022;16:08:27;BRANGUS C;306;NO;;
991 005003486779;AH40;7/9/2022;16:09:25;BRAFORD;276;NO;;
991 005003486756;0182;7/9/2022;16:09:57;BRANGUS C;312;SI;;
991 005003486774;051;7/9/2022;16:10:37;BRANGUS C;292;SI;;
991 005003486747;AH41;7/9/2022;16:11:18;BRHAMAN;286;NO;;
991 005003486776;AH42;7/9/2022;16:12:22;BRANGUS C;232;NO;;
991 005003486764;AH43;7/9/2022;16:14:05;BRANGUS C;322;NO;;
991 005003486775;085;7/9/2022;16:15:10;BRANGUS C;286;SI;;
991 005003486771;AH44;7/9/2022;16:16:02;BRANGUS C;354;NO;;
991 005003486751;AH45;7/9/2022;16:17:26;BRHAMAN;296;NO;;
991 005003486742;AH46;7/9/2022;16:19:00;BRHAMAN;316;NO;;
991 005003486745;AH47;7/9/2022;16:20:00;BRHAMAN;248;NO;;
991 005003486760;AH48;7/9/2022;16:20:46;BRANGUS C;284;NO;;
991 005003486757;035;7/9/2022;16:21:37;BRANGUS C;304;SI;;
991 005003486781;0135;7/9/2022;16:23:25;BRANGUS C;282;SI;;
991 005003486783;AH49;7/9/2022;16:25:41;BRANGUS C;278;NO;;
991 005003486782;AH50;7/9/2022;16:27:02;BRHAMAN;258;NO;;
991 005003486737;AH51;7/9/2022;16:28:00;BRHAMAN;272;NO;;
991 005003486755;AH52;7/9/2022;16:28:44;BRANGUS C;274;NO;;
991 005003486777;AH53;7/9/2022;16:29:28;BRHAMAN;222;NO;;
991 005003486738;AH54;7/9/2022;16:30:43;BRHAMAN;272;NO;;
991 005003486773;AH55;7/9/2022;16:32:35;BRANGUS C;302;NO;;
991 005003486768;AH56;7/9/2022;16:33:15;BRAFORD;306;NO;;
991 005003486765;0234;7/9/2022;16:34:29;BRANGUS C;292;SI;;
991 005003486766;136;7/9/2022;16:37:00;BRANGUS C;348;SI;;
991 005003486780;0146;7/9/2022;16:40:51;BRANGUS C;300;SI;;
991 005003486785;0183;7/9/2022;16:41:25;BRANGUS C;292;SI;;
991 005003486762;0132;7/9/2022;16:42:51;BRANGUS C;262;SI;;
991 005003486759;AH57;7/9/2022;16:44:34;BRANGUS N;294;NO;;
991 005003486758;0213;7/9/2022;16:46:32;BRANGUS C;372;SI;;
991 005003486769;AH58;7/9/2022;16:47:54;BRHAMAN;296;NO;;
991 005003486749;AH59;7/9/2022;16:48:43;BRANGUS C;320;NO;;
991 005003486763;0195;7/9/2022;16:51:57;BRANGUS C;298;SI;;
991 005003486778;AH60;7/9/2022;16:52:28;BRAFORD;310;NO;;
991 005003486739;AH61;7/9/2022;16:53:20;BRANGUS C;256;NO;;
991 005003486740;0175;7/9/2022;16:54:00;BRANGUS C;326;SI;;
991 005003486744;0193;7/9/2022;16:54:56;BRANGUS C;328;SI;;
991 005003486772;AH62;7/9/2022;16:56:34;BRHAMAN;326;NO;;
991 005003486754;AH63;7/9/2022;16:57:43;BRANGUS C;298;NO;;
991 005003486736;AH64;7/9/2022;16:58:35;BRANGUS C;252;NO;;
991 005003486805;0197;7/9/2022;17:00:38;BRANGUS C;314;SI;;
991 005003486794;AH65;7/9/2022;17:01:02;BRANGUS C;298;NO;;
991 005003486806;AH66;7/9/2022;17:01:55;BRAFORD;310;NO;;
991 005003486787;AH67;7/9/2022;17:03:06;BRAFORD;296;NO;;
991 005003486832;094;7/9/2022;17:05:14;BRANGUS C;354;SI;;
991 005003486791;AH68;7/9/2022;17:06:10;BRANGUS C;284;NO;;
991 005003486796;0236;7/9/2022;17:06:51;BRANGUS C;298;SI;;
991 005003486786;0218;7/9/2022;17:07:58;BRANGUS C;316;SI;;
991 005003486800;AH69;7/9/2022;17:09:31;BRANGUS C;352;NO;;
991 005003486799;072;7/9/2022;17:10:06;BRANGUS C;322;SI;;
