Núm. Archivo: 40
Nombre: FRENTE_1
Fecha: 15/9/2022
F11IDE(16)isID;F01IDV(16)isID;RD4Fecha(d/M/yyyy)notID;RT4Hora(HH:mm:ss)notID;F34FECHA NAC.(d/M/yyyy)notID;F23RAZA()notID;C73UBICACION()notID;C23INSCRIPTA()notID;C32PESO(##########)notID
IDE;IDV;Fecha;Hora;FECHA NAC.;RAZA;UBICACION;INSCRIPTA;PESO
991 005002439947;1187;15/9/2022;17:43:55;30/8/2021;BRANGUS C;;SI;256
991 005002439948;AL05;15/9/2022;17:44:58;30/8/2021;BRAFORD;;NO;266
991 005002439959;1188;15/9/2022;17:46:07;30/8/2021;BRANGUS C;;SI;312
991 005002439956;1189;15/9/2022;17:47:29;30/8/2021;BRANGUS C;;SI;278
991 005002439949;1190;15/9/2022;17:48:50;30/8/2021;BRANGUS C;;SI;244
991 005002439937;AL06;15/9/2022;17:51:35;30/8/2021;BRANGUS C;;NO;286
991 005002439927;AL07;15/9/2022;17:52:46;30/8/2021;BRAFORD;;NO;262
991 005002439954;AL08;15/9/2022;17:54:10;30/8/2021;BRAFORD;;SI;254
991 005002439924;1192;15/9/2022;17:56:09;30/8/2021;BRANGUS C;;SI;282
991 005002439952;1193;15/9/2022;17:58:21;30/8/2021;BRANGUS C;;SI;280
991 005002439951;AL10;15/9/2022;17:59:31;30/8/2021;BRANGUS C;;NO;266
991 005002439917;1194;15/9/2022;18:02:00;30/8/2021;BRANGUS C;;SI;266
991 005002439942;1195;15/9/2022;18:03:11;30/8/2021;BRANGUS C;;SI;242
991 005002439921;1196;15/9/2022;18:04:03;30/8/2021;BRANGUS C;;SI;250
991 005002439929;1197;15/9/2022;18:05:07;30/8/2021;BRANGUS C;;SI;276
991 005002439958;1198;15/9/2022;18:06:03;30/8/2021;BRANGUS C;;SI;250
991 005002439916;1199;15/9/2022;18:06:51;30/8/2021;BRANGUS C;;SI;274
991 005002439918;AL09;15/9/2022;18:09:22;30/8/2021;BRAFORD;;NO;272
991 005002439965;AL11;15/9/2022;18:12:07;30/8/2021;BRAFORD;;NO;270
991 005002439983;1200;15/9/2022;18:13:20;30/8/2021;BRANGUS C;;SI;296
991 005002439972;AL12;15/9/2022;18:14:15;30/8/2021;BRANGUS C;;NO;290
991 005002439978;AL13;15/9/2022;18:15:04;30/8/2021;BRANGUS C;;NO;296
991 005002440003;AL14;15/9/2022;18:15:44;30/8/2021;BRANGUS C;;NO;274
991 005002440005;AL15;15/9/2022;18:16:30;30/8/2021;BRAFORD;;NO;226
